OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177622502                                            
Config info:
LaserDAC,68
FanDAC,255
ToFtoSFRfactor,58
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
442,60,15,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,29,0,0.690,5.840,31.398,45.001,9.834,15.759,35.080,120,0,1779,13,0,596
483,49,13,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,31,0,0,0.680,5.620,31.299,44.095,10.328,15.336,35.210,105,0,1761,11,0,595
437,40,9,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,31,36,0.680,5.710,31.326,44.011,8.914,15.597,25.280,116,0,1830,12,0,596
471,52,15,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,30,0,0.680,5.990,31.326,43.916,9.898,15.216,32.760,117,0,1869,10,0,596
476,55,9,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,0,0,0.680,5.690,31.326,44.022,10.125,15.542,20.001,100,0,1913,13,0,596
515,39,16,5,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,34,37,0.680,5.740,31.326,44.084,11.204,21.520,47.633,110,0,1859,14,0,596
462,61,10,3,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,6,0,0.680,5.790,31.326,44.084,10.584,17.294,51.912,123,0,1932,14,0,596
493,58,5,1,6,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,5,0,0,0.680,6.320,31.326,44.209,9.406,15.586,142.072,107,0,1781,13,0,595
503,37,18,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,34,8,0.680,6.130,31.342,44.277,9.748,18.614,31.488,99,0,1827,13,0,595
504,46,9,2,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,24,34,0,0,0.680,6.000,31.355,44.365,9.627,14.594,206.917,109,0,1948,14,0,596
