timestamp,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2_5_aqi_cf_1,pm2_5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2_5_aqi_cf_1_b,pm2_5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,location,filename
2023-10-25 10:56:00,81,68,69,1009.09,0.0,53.27,81.16,85.89,35.14,53.77,67.32,164,147,7904.25,2382.91,541.75,34.77,5.43,3.2,56.6,89.26,92.31,36.83,58.62,69.26,169,153,9109.71,2693.48,610.76,45.81,3.36,0.88,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 10:58:00,82,64,68,1009.07,0.02,51.75,77.02,80.26,34.02,51.51,63.95,162,141,8178.95,2460.67,524.95,33.16,4.63,1.42,55.24,84.93,88.82,35.93,55.73,67.73,166,151,9047.56,2678.05,582.2,43.24,5.29,1.38,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:00:00,83,62,68,1009.03,0.02,52.13,77.11,80.58,34.56,51.8,64.33,162,142,8165.4,2456.64,517.95,33.78,4.75,2.93,52.96,80.42,82.4,34.74,53.26,65.23,164,146,8728.58,2582.44,559.23,28.63,2.7,1.09,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:02:00,84,61,69,1008.97,0.02,50.64,73.84,77.22,33.89,50.64,62.76,161,139,7879.25,2368.44,491.71,33.27,4.89,1.85,52.81,79.51,81.88,34.73,52.71,64.85,164,144,8691.46,2550.9,541.53,36.75,2.44,0.88,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:04:00,84,60,68,1008.93,0.02,49.12,71.61,74.98,33.28,49.84,61.72,160,137,7701.42,2301.42,481.65,31.56,4.96,1.54,52.14,76.81,78.79,34.28,51.72,63.28,162,142,8491.68,2512.47,515.19,30.02,2.68,0.95,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:06:00,85,59,69,1008.88,0.02,49.11,69.6,73.11,33.44,49.11,60.89,159,136,7647.89,2290.25,457.05,29.65,5.44,1.3,49.8,75.05,77.16,33.71,51.05,62.67,161,140,8148.82,2403.69,499.42,34.16,2.69,1.13,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:08:00,85,57,68,1008.86,0.02,47.59,68.93,72.57,33.02,49.0,60.74,158,135,7459.97,2233.79,436.55,32.95,5.22,1.79,50.02,75.28,77.41,33.69,50.98,62.72,161,140,8141.59,2412.31,493.93,33.59,2.83,1.14,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:10:00,85,57,68,1008.81,0.02,47.55,68.78,71.53,32.93,48.95,60.29,158,135,7407.22,2214.04,451.89,29.96,4.18,1.38,50.1,72.64,75.5,33.86,50.41,62.07,160,139,8035.03,2377.59,485.62,27.34,3.31,2.21,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:12:00,86,57,69,1008.8,0.02,46.89,66.21,70.88,32.58,47.79,59.61,157,132,7246.11,2176.23,434.16,29.35,7.23,2.46,48.59,72.19,74.43,33.22,50.07,61.57,160,138,7993.66,2355.34,476.45,32.34,2.79,0.83,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:14:00,86,57,69,1008.74,0.02,46.86,65.52,68.22,32.66,47.64,58.41,156,132,7228.29,2170.22,424.24,22.41,4.09,1.31,49.04,71.61,72.61,33.5,49.89,60.84,160,137,7939.77,2342.18,456.8,29.5,0.86,0.04,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:15:00,86,56,68,1008.72,0.0,46.52,65.25,68.23,32.52,47.57,58.36,156,132,7144.16,2148.77,420.27,26.57,4.36,2.0,47.72,71.28,74.21,32.84,49.88,61.35,159,137,7937.58,2323.7,490.21,29.47,3.23,1.42,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:17:00,86,55,68,1008.71,0.02,46.58,65.88,67.63,32.75,47.82,58.28,157,132,7185.89,2154.56,410.26,27.02,2.7,0.61,48.57,69.69,72.22,33.26,49.28,60.48,159,136,7846.67,2316.61,437.83,27.5,2.87,0.87,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:19:00,87,54,68,1008.6,0.02,45.89,63.7,65.73,32.68,47.07,57.16,155,131,7030.61,2110.14,404.21,23.5,3.02,0.95,46.75,68.57,70.36,32.88,48.93,59.7,158,135,7612.98,2235.18,448.04,26.38,1.77,0.68,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:21:00,87,54,68,1008.56,0.02,45.93,62.59,64.64,32.48,46.39,56.52,155,129,7066.88,2118.98,405.84,16.25,2.86,2.04,46.55,68.34,70.33,32.55,48.62,59.62,158,134,7593.78,2239.62,447.48,29.55,2.52,0.71,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:23:00,87,54,68,1008.52,0.02,45.07,64.04,66.39,31.96,46.84,57.44,156,130,7016.95,2102.42,418.12,27.37,3.11,1.67,46.74,66.82,68.75,32.58,48.09,58.58,157,133,7558.37,2234.51,438.02,23.4,2.74,1.07,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:25:00,87,53,68,1008.49,0.02,44.6,61.86,64.71,31.9,46.14,56.41,155,128,6910.66,2056.83,388.02,25.1,3.9,2.33,47.11,67.44,69.14,32.61,48.3,58.82,157,134,7693.0,2242.98,437.28,23.58,2.11,1.12,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:27:00,88,52,68,1008.51,0.02,44.4,61.05,63.32,31.86,45.82,55.79,154,128,6887.58,2063.67,375.09,20.72,3.11,1.82,46.74,67.51,69.54,32.61,48.47,59.09,157,134,7602.89,2232.21,426.35,27.51,2.67,1.3,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
2023-10-25 11:29:00,88,52,68,1008.46,0.02,44.52,62.04,64.84,31.95,46.46,56.68,155,129,6902.46,2059.64,397.62,20.93,4.09,0.84,47.4,67.91,69.5,33.07,48.71,59.21,158,135,7601.53,2238.31,446.71,22.71,1.57,0.79,20231111,uploads\purple_air_20231111_214539_CCD__20231025.csv
